Date,BPM
6/12/2021,52
6/13/2021,44
6/14/2021,47
6/15/2021,48
6/16/2021,47
6/17/2021,46
6/18/2021,45
6/19/2021,45
6/20/2021,45
6/21/2021,43
6/22/2021,45
6/23/2021,45
6/24/2021,42
6/25/2021,42
6/26/2021,41
6/27/2021,44
6/28/2021,43
6/29/2021,43
6/30/2021,42
7/1/2021,42
7/2/2021,42
7/3/2021,40
7/4/2021,43
7/5/2021,43
7/6/2021,36
7/7/2021,41
7/8/2021,40
7/9/2021,39
7/10/2021,41
7/11/2021,44
7/12/2021,41
7/13/2021,45
7/14/2021,41
7/15/2021,42
7/16/2021,40
7/17/2021,42
7/18/2021,42
7/19/2021,41
7/20/2021,41
7/21/2021,41
7/22/2021,42
7/23/2021,37
7/24/2021,37
7/25/2021,40
7/26/2021,41
7/27/2021,41
7/28/2021,42
7/29/2021,42
7/30/2021,39
7/31/2021,40
8/1/2021,42
8/2/2021,41
8/3/2021,42
8/4/2021,40
8/5/2021,38
8/6/2021,40
8/7/2021,41
8/8/2021,38
8/9/2021,41
8/10/2021,40
8/11/2021,36
8/12/2021,39
8/13/2021,40
8/14/2021,41
8/15/2021,42
8/16/2021,41
8/17/2021,39
8/18/2021,40
8/19/2021,42
8/20/2021,44
8/21/2021,43
8/22/2021,42
8/23/2021,43
8/24/2021,42
8/25/2021,43
8/26/2021,44
8/27/2021,44
8/28/2021,45
8/29/2021,44
8/30/2021,43
8/31/2021,41
9/1/2021,42
9/2/2021,43
9/3/2021,44
9/4/2021,44
9/5/2021,43
9/6/2021,44
9/7/2021,44
9/8/2021,46
9/9/2021,46
9/10/2021,43
9/11/2021,45
9/12/2021,43
9/13/2021,51
9/14/2021,47
9/15/2021,48
9/16/2021,49
9/17/2021,49
9/18/2021,50
9/19/2021,49
9/20/2021,47
9/21/2021,52
9/22/2021,51
9/23/2021,53
9/24/2021,50
9/25/2021,52
9/26/2021,49
9/27/2021,50
9/28/2021,49
9/29/2021,49
9/30/2021,50
10/1/2021,47
10/2/2021,45
10/3/2021,48
10/4/2021,46
10/5/2021,46
10/6/2021,46
10/7/2021,45
10/8/2021,49
10/9/2021,52
10/10/2021,47
10/11/2021,46
10/12/2021,51
10/13/2021,50
10/14/2021,49
10/15/2021,50
10/16/2021,53
10/17/2021,49
10/18/2021,48
10/19/2021,53
10/20/2021,50
10/21/2021,52
10/22/2021,52
10/23/2021,53
10/24/2021,53
10/25/2021,48
10/26/2021,50
10/27/2021,45
10/28/2021,45
10/29/2021,48
10/30/2021,47
10/31/2021,48
11/1/2021,46
11/2/2021,46
11/3/2021,53
11/4/2021,53
11/5/2021,49
11/6/2021,52
11/7/2021,52
11/8/2021,49
11/9/2021,49
11/10/2021,47
11/11/2021,47
11/12/2021,43
11/13/2021,46
11/14/2021,44
11/15/2021,52
11/16/2021,51
11/17/2021,45
11/18/2021,50
11/19/2021,47
11/20/2021,50
11/21/2021,48
11/22/2021,46
